1.96	28.94
23.59	27.45
32.25	29.30
40.77	44.30
47.93	50.52
54.54	23.20
65.41	20.95
78.81	31.50
112.52	26.51
159.70	24.22
192.13	25.86
245.52	33.16
250.90	25.48
278.37	38.96
355.86	31.31
519.22	25.85
544.78	21.36
571.18	25.36
603.72	33.53
613.30	20.09
631.16	17.80
691.15	29.83
699.34	21.88
704.30	28.32
708.42	29.16
717.07	24.15
739.67	31.41
804.37	24.07
836.74	29.61
905.89	32.67
965.59	27.45
984.59	28.55
997.00	31.20
1044.06	28.21
1136.05	30.45
1155.41	24.82
1187.19	28.07
1197.88	26.19
1213.82	25.59
1225.80	27.55
1227.12	25.40
1244.70	51.80
1250.79	31.53
1257.35	56.02
1261.30	22.16
1292.98	24.01
1347.05	24.17
1364.29	28.31
1485.56	25.37
1500.07	29.75
1503.86	20.08
1551.08	22.24
1574.60	28.53
1596.23	26.19
1626.03	25.84
1676.26	23.26
1697.10	20.75
1734.66	23.70
1839.67	39.21
